user_id,problem_id
30007,10799
30007,11052
30007,11053
30007,11057
30007,11279
30007,11654
30007,11659
30007,12015
30007,12100
30007,12738
30007,12865
30007,13458
30007,14501
30007,14888
30007,14891
30007,15552
30007,15651
30007,16234
30007,17144
30008,1000
30008,1001
30008,1003
30008,1008
30008,1110
30008,1152
30008,1157
30008,1316
30008,1330
30008,1546
30008,1712
30008,1929
30008,1978
30008,2292
30008,2438
30008,2439
30008,2440
30008,2441
30008,2557
30008,2558
30008,2562
30008,2577
30008,2581
30008,2588
30008,2675
30008,2739
30008,2741
30008,2742
30008,2750
30008,2753
30008,2839
30008,2884
30008,2908
30008,2941
30008,3052
30008,4153
30008,4344
30008,4673
30008,4948
30008,5622
30008,7287
30008,8393
30008,8958
30008,9498
30008,10039
30008,10171
30008,10172
30008,10250
30008,10430
30008,10718
30008,10809
30008,10817
30008,10818
30008,10869
30008,10870
30008,10871
30008,10872
30008,10950
30008,10951
30008,10952
30008,10998
30008,11021
30008,11022
30008,11653
30008,11654
30008,11720
30008,14681
30008,15552
30008,15596
30009,1000
30009,1001
30009,1002
30009,1008
30009,1011
30009,1065
30009,1110
30009,1152
30009,1157
30009,1193
30009,1316
30009,1330
30009,1546
30009,1712
30009,1929
30009,1978
30009,2292
30009,2438
30009,2439
30009,2557
30009,2562
30009,2577
30009,2581
30009,2588
30009,2630
30009,2675
30009,2739
30009,2741
30009,2742
30009,2753
30009,2775
30009,2839
30009,2869
30009,2884
30009,2908
30009,2941
30009,3052
30009,4344
30009,4673
30009,5622
30009,8393
30009,8958
30009,9498
30009,10171
30009,10172
30009,10250
30009,10430
30009,10718
30009,10757
30009,10809
30009,10818
30009,10869
30009,10871
30009,10950
30009,10951
30009,10952
30009,10998
30009,11021
30009,11022
30009,11653
30009,11654
30009,11720
30009,14681
30009,15552
30009,15596
30010,1000
30010,1001
30010,1008
30010,1065
30010,1075
30010,1110
30010,1152
30010,1157
30010,1193
30010,1316
30010,1330
30010,1546
30010,1712
30010,1978
30010,2161
30010,2292
30010,2422
30010,2438
30010,2439
30010,2447
30010,2557
30010,2562
30010,2577
30010,2581
30010,2588
30010,2609
30010,2675
30010,2739
30010,2741
30010,2742
30010,2743
30010,2751
30010,2753
30010,2775
30010,2839
30010,2869
30010,2884
30010,2902
30010,2908
30010,2941
30010,3052
30010,4344
30010,4673
30010,5622
30010,8393
30010,8958
30010,9012
30010,9086
30010,9498
30010,10171
30010,10172
